battery_power,blue,clock_speed,dual_sim,fc,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,touch_screen,wifi,price_range,combined_g,screen_size,pixel_density
842,False,2.2,False,1.0,7.0,0.6,188.0,2.0,2.0,2549.0,19,False,True,1,2,11.4,1326.3
1021,True,0.5,True,0.0,53.0,0.7,136.0,3.0,6.0,2631.0,7,True,False,2,4,17.3,103996.5
563,True,0.5,True,2.0,41.0,0.9,145.0,5.0,6.0,2603.0,9,True,False,2,4,11.2,193509.6
615,True,2.5,False,0.0,10.0,0.8,131.0,6.0,9.0,2769.0,11,False,False,2,3,17.9,121328.3
1821,True,1.2,False,13.0,44.0,0.6,141.0,2.0,14.0,1411.0,15,True,False,1,4,8.2,178548.3
1859,False,0.5,True,3.0,22.0,0.7,164.0,1.0,7.0,1067.0,10,False,False,1,3,17.0,97683.3
1821,False,1.7,False,4.0,10.0,0.8,139.0,8.0,10.0,3220.0,18,False,True,3,4,15.3,25350.2
1954,False,0.5,True,0.0,24.0,0.8,187.0,4.0,0.0,700.0,5,True,True,0,3,16.3,36091.3
1445,True,0.5,False,0.0,53.0,0.7,174.0,7.0,14.0,1099.0,20,False,False,0,3,17.0,18982.1
509,True,0.6,True,2.0,9.0,0.1,93.0,5.0,15.0,513.0,12,False,False,0,4,21.5,64729.7
769,True,2.9,True,0.0,9.0,0.1,182.0,5.0,1.0,3946.0,7,False,False,3,2,5.4,40139.3
1520,True,2.2,False,5.0,33.0,0.5,177.0,8.0,18.0,3826.0,13,True,True,3,4,16.6,9141.9
1815,False,2.8,False,2.0,33.0,0.6,159.0,4.0,17.0,1482.0,2,False,False,1,3,18.0,25224.2
803,True,2.1,False,7.0,17.0,1.0,198.0,4.0,11.0,2680.0,4,False,True,2,3,7.1,69769.0
1866,False,0.5,False,13.0,52.0,0.7,185.0,1.0,17.0,373.0,3,False,True,0,4,16.6,12074.0
775,False,1.0,False,3.0,46.0,0.7,159.0,2.0,16.0,568.0,11,True,True,0,3,22.7,70782.7
838,False,0.5,False,1.0,13.0,0.1,196.0,8.0,4.0,3554.0,19,False,True,3,4,13.5,134844.4
595,False,0.9,True,7.0,23.0,0.1,121.0,3.0,17.0,3752.0,18,True,False,3,4,10.2,35020.6
1131,True,0.5,True,11.0,49.0,0.6,101.0,5.0,18.0,1835.0,16,True,False,1,3,23.0,25118.4
